symbol,name,nifty200_member,model_version,historical_bar_count,start_date,end_date,signal_count,target_count,stop_count,status
PIDILITIND,PIDILITIND Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
PIIND,PIIND Limited,NIFTY_200,202609090847,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
PNB,PNB Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
POLYCAB,POLYCAB Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
POONAWALLA,POONAWALLA Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
PRESTIGE,PRESTIGE Limited,NIFTY_200,202609090847,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
PVRINOX,PVRINOX Limited,NIFTY_200,202609090847,986,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
RADICO,RADICO Limited,NIFTY_200,,251,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
RECLTD,RECLTD Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
RELIANCE,RELIANCE Limited,NIFTY_200,202609090641,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
RVNL,RVNL Limited,NIFTY_200,,251,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
SAIL,SAIL Limited,NIFTY_200,202609090848,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
SBICARD,SBICARD Limited,NIFTY_200,202609090848,989,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
SBILIFE,SBILIFE Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
SBIN,SBIN Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
SHREECEM,SHREECEM Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
SHRIRAMFIN,SHRIRAMFIN Limited,NIFTY_200,202609090848,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
SJVN,SJVN Limited,NIFTY_200,202609090848,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
SKFINDIA,SKFINDIA Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
SONACOMS,SONACOMS Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
SRF,SRF Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
SUNPHARMA,SUNPHARMA Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
SUNTV,SUNTV Limited,NIFTY_200,,251,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
SUPREMEIND,SUPREMEIND Limited,NIFTY_200,,251,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
SUZLON,SUZLON Limited,NIFTY_200,202609090848,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
SYNGENE,SYNGENE Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
TATACOMM,TATACOMM Limited,NIFTY_200,,251,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
TATAELXSI,TATAELXSI Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
TATAMOTORS,TATAMOTORS Limited,NIFTY_200,,208,2025-11-12,2026-09-08,0,,,MODEL_UNAVAILABLE
TATAPOWER,TATAPOWER Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
TATASTEEL,TATASTEEL Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
EICHERMOT,EICHERMOT Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
FEDERALBNK,FEDERALBNK Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
GODREJCP,GODREJCP Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
HINDZINC,HINDZINC Limited,NIFTY_200,202609090848,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
INDUSINDBK,INDUSINDBK Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
KANSAINER,KANSAINER Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
MAHABANK,MAHABANK Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
MARUTI,MARUTI Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
MUTHOOTFIN,MUTHOOTFIN Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
PAYTM,PAYTM Limited,NIFTY_200,,251,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
POWERGRID,POWERGRID Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
SIEMENS,SIEMENS Limited,NIFTY_200,,251,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
TATACONSUM,TATACONSUM Limited,NIFTY_200,202609090848,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
TCS,TCS Limited,NIFTY_200,202609090641,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
TECHM,TECHM Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
TIINDIA,TIINDIA Limited,NIFTY_200,202609090849,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
