symbol,name,sector,index_membership,model_name,record_count,first_date,last_date,champion_model_available,historical_data_available,V22_eligible
ICICIPRULI,ICICIPRULI Limited,,NIFTY_200,,251,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
IDBI,IDBI Limited,,NIFTY_200,IDBI_rf_202609090845.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
IDFCFIRSTB,IDFCFIRSTB Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
IGL,IGL Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
INDHOTEL,INDHOTEL Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
INDIAMART,INDIAMART Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
INDIANB,INDIANB Limited,,NIFTY_200,INDIANB_rf_202609090845.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
INDIGO,INDIGO Limited,,NIFTY_200,,250,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
INDUSTOWER,INDUSTOWER Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
INFY,INFY Limited,,NIFTY_200,INFY_rf_202609090641.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
IOC,IOC Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
IRB,IRB Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
IRCTC,IRCTC Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
IRFC,IRFC Limited,,NIFTY_200,IRFC_rf_202609090845.joblib,989,2021-09-09,2026-09-08,True,True,ELIGIBLE
ITC,ITC Limited,,NIFTY_200,ITC_rf_202609090845.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
JINDALSTEL,JINDALSTEL Limited,,NIFTY_200,JINDALSTEL_rf_202609090846.joblib,989,2021-09-09,2026-09-08,True,True,ELIGIBLE
JSWENERGY,JSWENERGY Limited,,NIFTY_200,JSWENERGY_rf_202609090846.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
JSWSTEEL,JSWSTEEL Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
