date,equity,cash,pos_count,equity_delta,exit_date,pnl,cum_realized,expected_equity,diff
2022-01-25,2050721.478240779,26.26596050534863,10,94279.90917131724,2022-01-25 00:00:00,25031.472240580304,1560228.3632541005,2560228.3632541005,-509506.88501332165
2022-01-27,2039102.087541704,262.3253804492415,10,-11619.390699074836,2022-01-27 00:00:00,18751.524445804105,1578979.8876999046,2578979.887699905,-539877.8001582008
2022-01-28,2014002.530810576,5519.078898645064,10,-25099.556731128134,2022-01-28 00:00:00,10265.237046298225,1589245.124746203,2589245.124746203,-575242.593935627
2022-01-31,2001365.698372684,6443.348847227695,10,-12636.832437891979,2022-01-31 00:00:00,-4490.098156219588,1584755.0265899834,2584755.026589983,-583389.3282172992
2022-02-01,1942952.8551540344,5481.799674979789,10,-58412.843218649505,2022-02-01 00:00:00,-4300.777190900935,1580454.2493990825,2580454.2493990827,-637501.3942450483
2022-02-02,1973991.1373100309,29.12612152376096,10,31038.28215599642,2022-02-02 00:00:00,-19056.424144180244,1561397.8252549022,2561397.8252549022,-587406.6879448714
2022-02-03,1991645.626518421,6081.116898708511,10,17654.489208390238,2022-02-03 00:00:00,8620.12330312585,1570017.948558028,2570017.948558028,-578372.3220396067
2022-02-04,1973126.3423910656,21045.831423810858,10,-18519.284127355553,2022-02-04 00:00:00,16972.63951532193,1586990.58807335,2586990.58807335,-613864.2456822845
2022-02-07,1972017.859964088,16541.5703503642,10,-1108.4824269774836,2022-02-07 00:00:00,-3849.845396514834,1583140.7426768353,2583140.7426768355,-611122.8827127474
2022-02-08,1993677.975465585,7335.568364907551,10,21660.11550149694,2022-02-08 00:00:00,-4070.3566599309884,1579070.3860169044,2579070.3860169044,-585392.4105513194
2022-02-09,1999782.496144384,94.39937505070702,10,6104.520678798901,2022-02-09 00:00:00,3511.542157773836,1582581.9281746782,2582581.9281746782,-582799.4320302943
2022-02-10,2013818.8260998796,403.4527230329695,10,14036.329955495661,2022-02-10 00:00:00,7852.283193480151,1590434.2113681585,2590434.2113681585,-576615.3852682789
2022-02-11,2009172.002098608,11110.559176015491,10,-4646.8240012715105,2022-02-11 00:00:00,14050.732291471635,1604484.9436596301,2604484.94365963,-595312.9415610221
2022-02-14,1938962.8938775533,11110.559176015491,10,-70209.10822105478,0,0.0,1604484.9436596301,2604484.94365963,-665522.0497820769
2022-02-15,1991892.051323569,419.4823924994271,10,52929.157446015626,2022-02-15 00:00:00,-43363.741218683135,1561121.202440947,2561121.2024409473,-569229.1511173784
2022-02-16,1970691.5522029533,3986.65267826477,10,-21200.499120615656,2022-02-16 00:00:00,23218.863090392213,1584340.0655313393,2584340.0655313395,-613648.5133283862
2022-02-17,1952056.056729563,964.2918560583494,10,-18635.495473390212,2022-02-17 00:00:00,-9710.126454287463,1574629.9390770518,2574629.939077052,-622573.8823474888
2022-02-18,1959928.8069667693,28.58589838721673,10,7872.75023720623,2022-02-18 00:00:00,4753.257655493818,1579383.1967325457,2579383.1967325457,-619454.3897657765
2022-02-21,2000144.4198985824,46.963813377253246,10,40215.61293181311,2022-02-21 00:00:00,2850.284087086531,1582233.4808196323,2582233.4808196323,-582089.0609210499
2022-02-22,1990232.7951498176,11964.217503562191,10,-9911.624748764792,2022-02-22 00:00:00,17716.70713279695,1599950.1879524293,2599950.187952429,-609717.3928026115
2022-02-23,2006905.0492595555,19705.239448916956,10,16672.25410973793,2022-02-23 00:00:00,12858.201300954022,1612808.3892533833,2612808.3892533835,-605903.339993828
2022-02-24,2068662.5516666293,19705.239448916956,10,61757.50240707374,0,0.0,1612808.3892533833,2612808.3892533835,-544145.8375867542
2022-02-25,2006571.2089996368,179.8077929263236,10,-62091.34266699245,2022-02-25 00:00:00,6185.254302590855,1618993.6435559741,2618993.643555974,-612422.4345563373
2022-02-28,2061807.1892934148,2069.7240071599954,10,55235.980293778004,2022-02-28 00:00:00,22515.94847180482,1641509.592027779,2641509.5920277787,-579702.4027343639
2022-03-02,2057295.5519488372,9183.191655158182,10,-4511.637344577583,2022-03-02 00:00:00,14575.00653599554,1656084.5985637745,2656084.5985637745,-598789.0466149373
2022-03-03,2068613.2214611587,51.95406995396479,10,11317.669512321474,2022-03-03 00:00:00,-3285.830561357532,1652798.768002417,2652798.768002417,-584185.5465412582
2022-03-04,2011886.499999726,8719.211826050741,10,-56726.72146143275,2022-03-04 00:00:00,-695.5291457188941,1652103.2388566982,2652103.2388566984,-640216.7388569724
