symbol,signal_date,direction,entry,stop,exit,raw_profit,stop_breached,triggered_at,bars_available,extreme_gap_count,first_gap_pct
MANAPPURAM,2025-02-17T00:00:00,SHORT,178.14999389648438,183.49449371337892,275.20001220703125,-54.47657683723449,2025-02-18T00:00:00,NO,200,0,0.0
NATIONALUM,2022-04-21T00:00:00,LONG,119.30000305175781,115.72100296020507,76.69999694824219,-35.70830261004586,2022-04-22T00:00:00,NO,200,0,0.0
NATIONALUM,2022-04-22T00:00:00,LONG,115.1500015258789,111.69550148010254,78.3499984741211,-31.958317467748664,2022-04-25T00:00:00,NO,200,0,0.0
NATIONALUM,2022-09-29T00:00:00,SHORT,67.75,69.7825,92.05000305175781,-35.86716317602629,2022-09-30T00:00:00,NO,200,0,0.0
NATIONALUM,2022-12-27T00:00:00,SHORT,74.05000305175781,76.27150314331055,99.5999984741211,-34.50370610316507,2022-12-28T00:00:00,NO,200,0,0.0
NATIONALUM,2023-03-31T00:00:00,SHORT,77.1500015258789,79.46450157165528,126.75,-64.29034023736662,2023-04-05T00:00:00,NO,200,0,0.0
NATIONALUM,2024-12-19T00:00:00,LONG,226.8800048828125,220.07360473632812,223.6199951171875,-1.4368872070982421,2024-12-20T00:00:00,NO,200,0,0.0
NATIONALUM,2025-04-15T00:00:00,SHORT,143.22000122070312,147.51660125732423,385.45001220703125,-169.13141245757274,2025-04-16T00:00:00,NO,200,0,0.0
NATIONALUM,2025-05-14T00:00:00,SHORT,165.0399932861328,169.9911930847168,361.29998779296875,-118.91662778159258,2025-05-15T00:00:00,NO,200,0,0.0
NHPC,2024-08-05T00:00:00,LONG,103.30999755859375,100.21069763183594,87.05999755859375,-15.729358613897537,2024-08-06T00:00:00,NO,200,0,0.0
NHPC,2024-08-08T00:00:00,LONG,100.55000305175781,97.53350296020507,87.08000183105469,-13.396321046126157,2024-08-12T00:00:00,NO,200,0,0.0
NHPC,2025-03-05T00:00:00,SHORT,73.56999969482422,75.77709968566894,77.80999755859375,-5.763215823511581,2025-03-06T00:00:00,NO,200,0,0.0
NMDC,2020-11-02T00:00:00,SHORT,21.560420989990234,22.20723361968994,39.649139404296875,-83.8977978338392,2020-11-03T00:00:00,NO,200,0,0.0
NMDC,2022-04-11T00:00:00,LONG,44.555641174316406,43.21897193908691,40.79999923706055,-8.429105357417136,2022-04-12T00:00:00,NO,200,0,0.0
NMDC,2022-08-04T00:00:00,SHORT,27.51740074157715,28.342922763824465,35.733333587646484,-29.85722715320111,2022-08-05T00:00:00,NO,200,0,0.0
NMDC,2022-08-05T00:00:00,SHORT,28.414148330688477,29.26657278060913,35.599998474121094,-25.289690402832154,2022-08-10T00:00:00,NO,200,0,0.0
NMDC,2023-07-03T00:00:00,SHORT,34.883331298828125,35.92983123779297,84.08333587646484,-141.04158847721504,2023-07-05T00:00:00,NO,200,0,0.0
NMDC,2023-07-12T00:00:00,SHORT,36.0,37.08,86.93333435058594,-141.48148430718317,2023-07-13T00:00:00,NO,200,0,0.0
